,NOM_ENT,DISTRITO,VPH_CEL,VPH_EXCSA,PSINDER,HOGJEF_F,P15YM_ANSEIN,CIRCUNSCRIPCIONES
1,Aguascalientes,1,90.53404638,98.09005101,18.73057354,28.21549153,15.94493809,2
2,Aguascalientes,2,94.75766121,99.46380899,17.15543578,31.07651814,8.297505349,2
3,Aguascalientes,3,93.88487843,99.38514791,19.32629744,33.23389429,8.629513993,2
4,Baja California,1,94.23078206,93.15309668,17.74218126,29.16085921,10.78109922,1
5,Baja California,2,92.84061246,99.02364904,18.56000848,34.43565668,7.891912407,1
6,Baja California,3,93.2197363,81.63340777,19.98932584,32.68166754,17.06388249,1
7,Baja California,4,95.56436126,98.01932514,22.83944577,33.09598561,9.809266221,1
8,Baja California,5,94.73828175,99.02591729,26.66762174,34.54042595,8.294640772,1
9,Baja California,6,93.27245234,97.26628517,28.20290142,34.86968897,8.859078673,1
10,Baja California,7,93.18707906,94.2176159,20.44370879,31.49741712,11.63730617,1
11,Baja California,8,94.762129,98.26041261,23.55060958,34.49487815,10.35428633,1
12,Baja California Sur,1,94.08653653,95.41155162,13.12665289,32.62145301,11.84065198,1
13,Baja California Sur,2,94.31793742,96.54774911,19.23753373,30.79669313,11.59537612,1
14,Campeche,1,84.44415437,93.59230309,20.02209992,31.36047422,19.722174,3
15,Campeche,2,83.0302473,94.49770482,23.82884093,30.82971239,23.02038724,3
16,Coahuila de Zaragoza,1,92.76127258,98.12616682,18.82897257,27.81017355,9.374738843,2
17,Coahuila de Zaragoza,2,88.98497442,94.88810742,19.58176306,26.22282609,12.73529713,2
18,Coahuila de Zaragoza,3,91.31289681,98.35986607,16.71866008,25.3798288,7.860745673,2
19,Coahuila de Zaragoza,4,92.97936876,99.05356683,16.929745,28.08896329,5.941532703,2
20,Coahuila de Zaragoza,5,90.54934994,99.36641641,22.29830526,35.93114814,8.081259428,2
21,Coahuila de Zaragoza,6,93.07538359,98.2985148,22.24216858,29.25107967,9.058234659,2
22,Coahuila de Zaragoza,7,90.28639076,97.65901233,16.79490323,28.22277798,8.54156117,2
23,Colima,1,92.0747901,98.98553354,17.86273582,35.81066592,11.73281225,5
24,Colima,2,90.049902,98.92241992,15.70418259,33.48073518,19.86213978,5
25,Chiapas,1,48.25857712,84.25491644,28.13452974,21.23610346,52.6897811,3
26,Chiapas,10,73.8629536,94.17767393,36.28902435,26.52043298,42.83069399,3
27,Chiapas,11,50.53738231,56.40231488,18.21568815,16.60023939,53.08462387,3
28,Chiapas,12,86.42717609,96.626667,42.02038112,35.34430998,25.65173427,3
29,Chiapas,13,69.90363831,92.09106887,29.01587751,25.03080746,43.10132078,3
30,Chiapas,2,46.69109423,75.35123505,23.245153,18.5155992,56.08799891,3
31,Chiapas,3,41.66530288,72.62525425,28.41657896,16.48352933,61.31672487,3
32,Chiapas,4,71.5164941,94.41560318,35.09792154,27.33830966,39.45633822,3
33,Chiapas,5,66.30340788,71.6579537,30.4289441,27.90377737,47.12758693,3
34,Chiapas,6,85.17018485,96.21721451,41.99454202,28.65115752,27.73600149,3
35,Chiapas,7,77.96739353,96.3099288,38.59365787,30.88134144,37.76613958,3
36,Chiapas,8,75.05474062,88.79340149,33.71382313,23.73602674,42.90440494,3
37,Chiapas,9,93.7754539,99.04008688,39.13070802,38.61373131,14.0229746,3
38,Chihuahua,1,96.07796971,99.84731408,16.15030822,31.32915231,6.149349404,1
39,Chihuahua,2,93.41203827,97.89166498,18.24465592,32.3514724,13.18857695,1
40,Chihuahua,3,90.95787343,98.1447886,22.56059614,36.3126838,12.44325631,1
41,Chihuahua,4,93.90140619,99.36061284,19.67727611,35.51040339,6.167714648,1
42,Chihuahua,5,92.24522353,98.87491928,13.65715561,34.42549474,13.88735795,1
43,Chihuahua,6,95.47809521,99.4825489,10.39225194,35.34628677,4.944783869,1
44,Chihuahua,7,88.01401486,87.25890384,13.77842006,31.16839407,22.00159156,1
45,Chihuahua,8,94.08294196,99.06069712,11.44214013,36.67957119,7.803567052,1
46,Chihuahua,9,74.22660665,71.29372453,13.49323353,30.80909662,38.59130681,1
